name,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_percentage,discount_percentage_original
"JIWA healthy by nature Steel Cut Oats, 1 Kg (Gluten Free)",All Grocery & Gourmet Foods,4.3,1117,225.0,300.0,25.0,25.0
Saffola FITTIFY Tasty Peanut Butter | Dark Chocolaty | Extra Crunchy | High Protein | High Fiber | Vegan| No Trans Fat | 925g,All Grocery & Gourmet Foods,4.2,214,274.0,549.0,50.1,50.09107468123861
"Amazon Brand - Vedaka SOYA Chunks, 500 g",All Grocery & Gourmet Foods,4.2,2246,89.0,110.0,19.1,19.090909090909093
Pillsbury Gold Madhya Pradesh Sharbati Whole Wheat Atta | Upto 6 hours of Softness| 5kg,All Grocery & Gourmet Foods,4.3,525,259.0,315.0,17.8,17.77777777777778
"Thanjai Natural Almond Gum Badam Pisin Badam Gum Best First Quality Pure, Natural 250 Grams",All Grocery & Gourmet Foods,4.2,929,170.0,349.0,51.3,51.28939828080229
"Happilo Classic Peanut Butter Creamy 1kg, Roasted Peanuts, No Added Sugar, Rich in Protein, Premium Non GMO Slow Roasted P...",All Grocery & Gourmet Foods,4.8,11,279.0,495.0,43.6,43.63636363636363
Lotus Biscoff Cookies - Caramelized Biscuit Cookie - 2P x 8 Counts - 124 Gram - Non-GMO Project Verified and Vegan,All Grocery & Gourmet Foods,4.2,1492,179.0,189.0,5.3,5.291005291005291
"Manna Barnyard Millet Natural Grains, 1kg (500g x 2 Packs) - (Khira/Swank/Kuthiraivally/Udalu/Kodisama/siridhanya) | Nativ...",All Grocery & Gourmet Foods,4.3,569,189.0,260.0,27.3,27.307692307692307
Organic Box 100% Natural Premium Mix Dry Fruits and Nuts - Combo Pack Badam + Kaju Jar Pack - 500 Gram (Each) Cashew + Alm...,All Grocery & Gourmet Foods,3.9,299,929.0,1299.0,28.5,28.48344880677444
Loacker Quadratini Napolitaner(Hazelnut) - 125g | Italy,All Grocery & Gourmet Foods,4.4,953,159.0,199.0,20.1,20.100502512562816
"Manna Millets 5kg - Natural Grains Combo Pack of 5 | Foxtail 1kg, Kodo 1kg, Little 1kg, Barnyard 1kg, Proso 1kg | Native L...",All Grocery & Gourmet Foods,4.2,329,799.0,1280.0,37.6,37.578125
"Nutralite Doodhshakti Probiotic Butter Spread Salted, 500 g",All Grocery & Gourmet Foods,4.2,425,243.0,250.0,2.8,2.8000000000000003
"Henfruit Protein Max Eggs, Pack of 30",All Grocery & Gourmet Foods,3.9,613,239.0,450.0,46.9,46.88888888888889
Shree Gulab Roasted Gram Flour Sattu 1Kg (500Gms*2),All Grocery & Gourmet Foods,4.3,1740,269.0,300.0,10.3,10.333333333333334
Typhoo Uplifting Lemon Grass Green Tea Bags (25 Tea Bags),All Grocery & Gourmet Foods,4.3,917,178.0,210.0,15.2,15.238095238095239
"Del Monte Extra Light Olive Oil, Ideal for Everyday Indian Cooking & Deep Frying, 5L",All Grocery & Gourmet Foods,4.4,1047,3319.0,5600.0,40.7,40.732142857142854
"Taj Mahal Brooke Bond, 25 Tea Bags",All Grocery & Gourmet Foods,4.3,656,60.0,75.0,20.0,20.0
